Arroz Meloso al Parmesano y Setas,1,"5,55"
Crema de Calabaza,1,"5,05"
Lasaña de Carne,1,"6,9"
Marmitako de Atún +GRANDE,1,"7,15"
Calabacines Rellenos de Carne,3,"18,75"
Pollo al Curry con Arroz,4,"27,4"
Albóndigas con Pisto,4,"25,4"
Lasaña de Atún,2,"12,7"
Carrilleras de Cerdo en Salsa con Crema de Patatas,7,"50,05"
Merluza en salsa verde con menestra,1,"7,85"
Salchichas frescas al vino con brócoli,1,"6,65"
Albóndigas de Choco y Gambas,3,"20,85"
Salmón Teriyaki con Noodles y Setas,6,"47,7"
Pollo Tikka Masala con Arroz Basmati,5,"34,25"
Berenjenas Gratinadas al Parmesano,2,"13,1"
Solomillo con Setas del Bosque y reducción de Pedro Ximénez,3,"27,75"
Ají de Pollo,1,"6,6"
Canelones de Carrillera,5,"39,75"
Tarta de Queso,6,"23,7"
Arroz con leche casero,3,"11,85"
Yakisoba con Verduritas y Bacon,2,"13,4"
Tacos de Ternera (incluye tortillas),7,"55,65"
Hamburguesa con Cebolla Caramelizada y Patatas,6,"34,2"
Cuscús de Verduras y Pollo,1,"5,85"
Berenjenas rellenas de atún,1,"6,95"
Pollo con verduras,1,"6,15"
Albóndigas con pisto,1,"6,35"
Judías blancas con chorizo,1,"5,95"
Crema de Verduras,1,"5,05"
Pollo Agridulce con Arroz Basmati,1,"5,95"
Tortilla de Patatas Rellena de Jamón York y Queso cremoso,1,"5,95"
Lentejas Riojanas,2,"11,1"
Rosada a la Roteña,1,"7,45"
Pollo a la Carbonara con Champiñones,4,"27,8"
Bacalao a la Vizcaína,1,"7,95"
Lentejas con Verduras,1,"5,55"
Espaguetis a la boloñesa,1,"5,45"
Macarrones con chorizo,1,"5,25"
Musaka +Grande,1,"7,35"
Albóndigas de Berenjena en Salsa de tomate,2,"10,9"
Lentejas Riojanas +GRANDES,2,"13,1"
Judías Verdes Salteadas con Jamón,4,"21,8"
Curry Rojo de Verduras,3,"19,35"
Arroz con Pollo,1,"6,45"
Pastel de Carne con Chili y Puré de Patatas,1,"6,95"
salmorejo cordobés,1,"4,95"
Pavo al Curry y Coliflor,2,"11,9"
Lasaña de verduras,1,"6,35"
Pollo a la carbonara con champiñones,1,"6,95"
Fabada Asturiana Casera,1,"6,25"
Estofado de Ternera,1,"5,95"
Lasaña de Verduras,2,"12,7"
Arroz con Carrilleras al Pedro Ximénez,1,"6,45"
Salmón en Hojaldre y crema de Queso,1,"8,95"
"Pechuga de Pavo en Salsa de Gambas, Ajos Tiernos y Setas",1,"7,95"
Salmón al pesto y espinacas,2,"15,9"
Albóndigas con Pisto +GRANDE,1,"7,35"
Carrilleras de Cerdo en Salsa con Crema de Patatas +GRANDE,1,"8,15"
"Pechuga de pavo en salsa de gambas, ajos tiernos y setas",1,"7,95"
Arroz meloso de marisco,1,"5,25"
Heura a la Peruana con Puré de Patatas,1,"6,45"
Garbanzos con Langostinos y Chorizo,1,"6,35"
Carrilleras de Cerdo con Pisto,1,"7,35"
Arroz Tikka Masala con Heura,1,"5,45"
pollo a la carbonara con champiñones,1,"6,95"
Solomillo a la Pimienta,1,"7,25"
Macarrones con Atún,1,"5,65"
Brownie Keto de Chocolate con Avellanas,1,"4,95"
Pollo al Chilindrón,1,"6,85"
Postre de Turrón Casero,1,"3,95"
